version,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,1e-05,1,0.1,0.001,rnn,256,1,True,0.25,0.6388888955116272,0.796875,0.23529411852359772,1.0,0.59375,0.380952388048172,0.3071754276752472,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.30369484424591064,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
1,1e-05,1,0.1,0.001,rnn,256,1,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.33362436294555664,0.8888888955116272,0.5,,0.0,1.0,,0.31901052594184875,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
2,1e-05,2,0.1,0.001,rnn,256,1,True,0.15000000596046448,0.3611111044883728,0.640625,0.14814814925193787,1.0,0.28125,0.25806450843811035,0.15391458570957184,0.4444444477558136,0.6875,0.1666666716337204,1.0,0.375,0.2857142984867096,0.15391458570957184,0.4444444477558136,0.6875,0.1666666716337204,1.0,0.375,0.2857142984867096
3,1e-05,2,0.1,0.001,rnn,256,1,True,0.3499999940395355,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.29382357001304626,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.29382357001304626,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
4,1e-05,4,0.1,0.001,rnn,256,1,True,0.15000000596046448,0.6111111044883728,0.671875,0.1875,0.75,0.59375,0.30000001192092896,0.1481514722108841,0.5833333134651184,0.65625,0.1764705926179886,0.75,0.5625,0.2857142984867096,0.1481514722108841,0.5833333134651184,0.65625,0.1764705926179886,0.75,0.5625,0.2857142984867096
5,1e-05,4,0.1,0.001,rnn,256,1,True,0.25,0.3888888955116272,0.65625,0.1538461595773697,1.0,0.3125,0.2666666805744171,0.26875266432762146,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.26875266432762146,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
6,1e-05,8,0.1,0.001,rnn,256,1,True,0.25,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.13567699491977692,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086,0.13567699491977692,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086
7,1e-05,8,0.1,0.001,rnn,256,1,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2863042950630188,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.2723354697227478,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408
